timestamp,artist,track,ms_played,date,year,month,day,minutes_played
2025-02-05 19:47:00,Taylor Swift,The Smallest Man Who Ever Lived,48186,2025-02-05,2025,2,5,8.031
2025-02-05 20:00:00,America,Ventura Highway,211680,2025-02-05,2025,2,5,35.28
2025-02-05 20:03:00,Looking Glass,Brandy (You're a Fine Girl),186826,2025-02-05,2025,2,5,31.137666666666668
2025-02-05 20:08:00,A Flock Of Seagulls,I Ran (So Far Away),308933,2025-02-05,2025,2,5,51.48883333333333
2025-02-05 20:11:00,Matthew Wilder,Break My Stride,184480,2025-02-05,2025,2,5,30.746666666666663
2025-02-05 20:16:00,Tears For Fears,"Head Over Heels - Dave Bascombe 7"" N.Mix",257315,2025-02-05,2025,2,5,42.88583333333333
2025-02-05 20:20:00,Carly Simon,You're So Vain,258411,2025-02-05,2025,2,5,43.0685
2025-02-05 20:23:00,Seals and Crofts,Summer Breeze,205480,2025-02-05,2025,2,5,34.24666666666667
2025-02-05 20:26:00,Glen Campbell,Southern Nights,180026,2025-02-05,2025,2,5,30.00433333333333
2025-02-05 20:30:00,Fleetwood Mac,Everywhere,222733,2025-02-05,2025,2,5,37.122166666666665
2025-02-05 20:34:00,Billy Joel,Only the Good Die Young,235560,2025-02-05,2025,2,5,39.26
2025-02-06 23:04:00,Eagles,Hotel California - 2013 Remaster,112278,2025-02-06,2025,2,6,18.713
2025-02-08 21:02:00,Pitbull,Time of Our Lives,33820,2025-02-08,2025,2,8,5.636666666666667
2025-02-08 21:07:00,Pitbull,Hotel Room Service,237640,2025-02-08,2025,2,8,39.60666666666667
2025-02-08 21:11:00,Pitbull,Hotel Room Service,237640,2025-02-08,2025,2,8,39.60666666666667
2025-02-08 21:16:00,Calvin Harris,Outside (feat. Ellie Goulding),227266,2025-02-08,2025,2,8,37.87766666666667
2025-02-08 21:20:00,Troy,Bet On It,198320,2025-02-08,2025,2,8,33.053333333333335
2025-02-08 23:02:00,Demi Lovato,This Is Me,161690,2025-02-08,2025,2,8,26.94833333333333
2025-02-08 23:06:00,Ariana Grande,pov,219240,2025-02-08,2025,2,8,36.54
2025-02-08 23:10:00,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),215466,2025-02-08,2025,2,8,35.911
2025-02-08 23:15:00,The 1975,About You,326490,2025-02-08,2025,2,8,54.415
2025-02-08 23:18:00,Tate McRae,exes,159400,2025-02-08,2025,2,8,26.566666666666663
2025-02-08 23:21:00,Tate McRae,exes,159400,2025-02-08,2025,2,8,26.566666666666663
2025-02-08 23:23:00,Daryl Hall & John Oates,Rich Girl,142829,2025-02-08,2025,2,8,23.80483333333333
2025-02-08 23:26:00,Tate McRae,exes,159400,2025-02-08,2025,2,8,26.566666666666663
2025-02-08 23:29:00,Tate McRae,exes,159400,2025-02-08,2025,2,8,26.566666666666663
2025-02-08 23:32:00,Tate McRae,exes,159400,2025-02-08,2025,2,8,26.566666666666663
2025-02-08 23:33:00,Daryl Hall & John Oates,Rich Girl,41799,2025-02-08,2025,2,8,6.9665
2025-02-08 23:35:00,Tate McRae,greedy,131872,2025-02-08,2025,2,8,21.978666666666665
2025-02-09 06:08:00,Kanye West,Heartless,143630,2025-02-09,2025,2,9,23.938333333333333
2025-02-11 02:06:00,Hozier,Dinner & Diatribes,72730,2025-02-11,2025,2,11,12.121666666666666
2025-02-11 02:08:00,Hozier,Nobody,37480,2025-02-11,2025,2,11,6.246666666666667
2025-02-14 21:13:00,Gotye,Somebody That I Used To Know,69610,2025-02-14,2025,2,14,11.601666666666668
2025-02-14 21:17:00,SZA,Open Arms (just SZA),215871,2025-02-14,2025,2,14,35.9785
2025-02-14 21:20:00,SZA,Special,158840,2025-02-14,2025,2,14,26.473333333333333
2025-02-14 21:26:00,Kendrick Lamar,euphoria,383639,2025-02-14,2025,2,14,63.93983333333333
2025-02-14 21:35:00,Kendrick Lamar,euphoria,383639,2025-02-14,2025,2,14,63.93983333333333
2025-02-14 21:37:00,SZA,No More Hiding,162662,2025-02-14,2025,2,14,27.110333333333333
2025-02-14 21:40:00,SZA,Chill Baby,140637,2025-02-14,2025,2,14,23.4395
2025-02-14 21:43:00,SZA,Far,180680,2025-02-14,2025,2,14,30.113333333333333
2025-02-14 21:45:00,SZA,Blind,150720,2025-02-14,2025,2,14,25.12
2025-02-15 03:02:00,SZA,Saturn,186191,2025-02-15,2025,2,15,31.03183333333333
2025-02-15 03:03:00,SZA,Normal Girl,53218,2025-02-15,2025,2,15,8.869666666666667
2025-02-15 03:07:00,Kendrick Lamar,"All The Stars (with SZA) - From ""Black Panther: The Album""",232186,2025-02-15,2025,2,15,38.69766666666667
2025-02-15 03:13:00,Kendrick Lamar,Not Like Us,254210,2025-02-15,2025,2,15,42.36833333333333
2025-02-15 06:48:00,Fleetwood Mac,"Silver Springs - Live at Warner Brothers Studios in Burbank, CA 5/23/97",226200,2025-02-15,2025,2,15,37.7
2025-02-15 06:53:00,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),311765,2025-02-15,2025,2,15,51.96083333333333
2025-02-15 06:57:00,Taylor Swift,Speak Now (Taylor's Version),242473,2025-02-15,2025,2,15,40.41216666666666
2025-02-15 07:01:00,Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),252385,2025-02-15,2025,2,15,42.064166666666665
2025-02-15 07:06:00,Taylor Swift,Innocent (Taylor's Version),301221,2025-02-15,2025,2,15,50.2035
2025-02-15 07:12:00,Taylor Swift,Enchanted (Taylor's Version),353253,2025-02-15,2025,2,15,58.8755
2025-02-15 07:18:00,Taylor Swift,Ours (Taylor’s Version),234854,2025-02-15,2025,2,15,39.14233333333333
2025-02-15 07:22:00,Taylor Swift,Superman (Taylor’s Version),274945,2025-02-15,2025,2,15,45.82416666666666
2025-02-15 07:26:00,Taylor Swift,Better Than Revenge (Taylor's Version),220306,2025-02-15,2025,2,15,36.717666666666666
2025-02-15 07:40:00,Taylor Swift,Dear John (Taylor's Version),804028,2025-02-15,2025,2,15,134.00466666666668
2025-02-15 20:21:00,Taylor Swift,Dear John (Taylor's Version),59584,2025-02-15,2025,2,15,9.930666666666667
2025-02-15 20:28:00,Taylor Swift,Dear John (Taylor's Version),405906,2025-02-15,2025,2,15,67.651
2025-02-15 20:32:00,Taylor Swift,Haunted (Taylor's Version),245413,2025-02-15,2025,2,15,40.902166666666666
2025-02-15 20:38:00,Taylor Swift,Long Live (Taylor's Version),317960,2025-02-15,2025,2,15,52.99333333333333
2025-02-15 20:43:00,Taylor Swift,Foolish One (Taylor’s Version) (From The Vault),311765,2025-02-15,2025,2,15,51.96083333333333
2025-02-15 22:21:00,America,Ventura Highway,211680,2025-02-15,2025,2,15,35.28
2025-02-15 22:24:00,The Zombies,Time of the Season - Mono Version,214040,2025-02-15,2025,2,15,35.67333333333333
2025-02-15 22:30:00,Boston,More Than a Feeling,285133,2025-02-15,2025,2,15,47.52216666666666
2025-02-15 22:34:00,Fleetwood Mac,Gypsy - 2016 Remaster,267033,2025-02-15,2025,2,15,44.5055
2025-02-15 22:36:00,Carole King,I Feel the Earth Move,69902,2025-02-15,2025,2,15,11.650333333333334
2025-02-15 22:50:00,Jackson Browne,Running on Empty,291893,2025-02-15,2025,2,15,48.648833333333336
2025-02-16 05:13:00,Fleetwood Mac,You Make Loving Fun - 2004 Remaster,115820,2025-02-16,2025,2,16,19.30333333333333
2025-02-16 05:18:00,Fleetwood Mac,Dreams - 2004 Remaster,257800,2025-02-16,2025,2,16,42.96666666666667
2025-02-16 05:23:00,Eagles,One of These Nights - 2013 Remaster,291685,2025-02-16,2025,2,16,48.61416666666667
2025-02-16 05:26:00,Queen,Another One Bites The Dust - Remastered 2011,214653,2025-02-16,2025,2,16,35.7755
2025-02-16 05:35:00,Fleetwood Mac,Future Games,499115,2025-02-16,2025,2,16,83.18583333333333
2025-02-16 05:38:00,Black Sabbath,Paranoid - 2012 - Remaster,168405,2025-02-16,2025,2,16,28.0675
2025-02-16 05:44:00,Kanye West,Devil In A New Dress,351946,2025-02-16,2025,2,16,58.65766666666666
2025-02-16 05:47:00,Kali Uchis,telepatía,160191,2025-02-16,2025,2,16,26.6985
2025-02-16 05:51:00,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",207454,2025-02-16,2025,2,16,34.57566666666666
2025-02-16 05:56:00,Fleetwood Mac,Everywhere,222733,2025-02-16,2025,2,16,37.122166666666665
