date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-04-26 00:00:00,15,5.6,22.8,0,,,4.1,,1004.9,
2025-04-27 00:00:00,15.3,6.7,23.3,0,,,6.3,,1007.8,
2025-04-28 00:00:00,14.6,7.2,21.1,0,,,10.4,,1017.2,
2025-04-29 00:00:00,14.1,9.4,20,6,,,17.8,,1015.2,
2025-04-30 00:00:00,13,5.6,20,0,,,5.4,,1017.9,
2025-05-01 00:00:00,14.9,6.1,23.9,0,,,3.4,,1018.4,
2025-05-02 00:00:00,17.7,7.2,28.9,0,,,3.1,,1011.7,
2025-05-03 00:00:00,13.6,10.6,15.6,0,,,9.4,,1011.8,
2025-05-04 00:00:00,11.3,4.4,16.7,0,,,8.9,,1017,
2025-05-05 00:00:00,12.9,3.9,21.1,0,,,6.3,,1022.1,
2025-05-06 00:00:00,14.4,3.9,23.9,0,,,4.9,,1019.4,
2025-05-07 00:00:00,17.4,7.2,25.6,0,,,8,,1012.4,
2025-05-08 00:00:00,15.2,10,20,0,,,12.4,,1020.6,
2025-05-09 00:00:00,15.1,3.9,25,0,,,2.3,,1021.1,
2025-05-10 00:00:00,18.8,10,27.8,0,,,10.1,,1012.2,
2025-05-11 00:00:00,14.1,10,17.8,1.1,,,4.9,,1006.9,
2025-05-12 00:00:00,13,9.4,18.9,0.2,,,8.9,,1004.8,
2025-05-13 00:00:00,13.5,10,17.8,1,,,11.1,,1010.5,
2025-05-14 00:00:00,14.2,11.1,18.3,0,,,14.5,,1011.9,
2025-05-15 00:00:00,13.3,7.8,18.3,0,,,12.3,,1014.4,
2025-05-16 00:00:00,10.7,8.9,13.3,3.6,,,9,,1015.5,
2025-05-17 00:00:00,13.5,8.9,19.4,4.6,,,3.9,,1009.8,
2025-05-18 00:00:00,10.5,7.8,12.8,3.7,,,15.3,,1012.8,
2025-05-19 00:00:00,10.8,6.7,13.9,0.9,,,11.1,,1017.2,
2025-05-20 00:00:00,12.5,8.3,16.7,4.6,,,14,,1018.1,
2025-05-21 00:00:00,13.2,7.8,18.9,0,,,8.1,,1020.4,
2025-05-22 00:00:00,11.7,8.9,15.6,0.3,,,3.1,,1016,
2025-05-23 00:00:00,14.3,7.8,21.7,0,,,3.9,,1017,
2025-05-24 00:00:00,17.5,8.3,26.1,0,,,3.7,,1016.7,
2025-05-25 00:00:00,21,10.6,31.7,0,,,4.1,,1011.2,
2025-05-26 00:00:00,19.5,15,23.9,0,,,13.4,,1013.9,
2025-05-27 00:00:00,18.1,11.1,25.6,0,,,3.4,,1020.2,
2025-05-28 00:00:00,22.2,10.6,33.3,0,,,3.4,,1013.5,
2025-05-29 00:00:00,21.2,15,26.7,0,,,12.2,,1013,
2025-05-30 00:00:00,19.7,10.6,28.3,0,,,3.1,,1022,
2025-05-31 00:00:00,22.2,12.8,31.7,0,,,13.3,,1012.4,
2025-06-01 00:00:00,17.7,11.7,22.8,0,,,9.4,,1017.3,
2025-06-02 00:00:00,17.3,10.6,22.8,0,,,6.5,,1019.1,
2025-06-03 00:00:00,16.7,7.2,23.9,0,,,4.9,,1017.8,
2025-06-04 00:00:00,19.2,13.9,25.6,0,,,6.8,,1015.2,
2025-06-05 00:00:00,20,10.6,29.4,0,,,3.9,,1014.6,
2025-06-06 00:00:00,22,13.9,30,0,,,8.9,,1011.5,
2025-06-07 00:00:00,23.6,15,31.7,0,,,4.5,,1013.3,
2025-06-08 00:00:00,24,13.3,33.3,0,,,4.4,,1015.1,
2025-06-09 00:00:00,26.1,15,36.1,0,,,6.4,,1010.5,
2025-06-10 00:00:00,26.7,17.8,35,0,,,9.8,,1007.7,
2025-06-11 00:00:00,24.6,16.1,31.7,0,,,12.8,,1008.1,
2025-06-12 00:00:00,22.8,15.6,28.3,0,,,14.8,,1009,
2025-06-13 00:00:00,20.9,15.6,26.1,0,,,12.6,,1010.1,
2025-06-14 00:00:00,19.1,12.8,26.1,0,,,10.8,,1015.2,
2025-06-15 00:00:00,19.8,10,29.4,0,,,4.5,,1016.2,
2025-06-16 00:00:00,21.4,11.1,30.6,0,,,4.9,,1013,
2025-06-17 00:00:00,21.4,15,27.8,0,,,12.4,,1013.4,
2025-06-18 00:00:00,22,15,28.9,0,,,15.6,,1012,
2025-06-19 00:00:00,19.4,12.8,26.1,0,,,6.9,,1010.8,
2025-06-20 00:00:00,16.9,11.7,20.6,0,,,15.1,,1004.6,
2025-06-21 00:00:00,12.9,8.9,17.2,1,,,15.2,,1011.8,
2025-06-22 00:00:00,15.8,11.1,22.2,1,,,6.4,,1017,
2025-06-23 00:00:00,17.9,11.1,25,4.5,,,6,,1017.7,
